slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,https://history.laumeiersculpturepark.org,505,0.015841584158416,17.8217821782178,0,6,11,1005.5126953125,83.8596797925499,18,3,0,101.141135030788,858
2,http://www.mondriaan.nl/en,40,0.075,0.3,0,2,4,1416.8515625,94.3110136360879,3,10,0,34.4186352563149,1739
3,https://www.artculturefestival.in/,1536,0.335286458333333,7.74739583333333,2,63,163,2750.724609375,93.7036121874137,108,8,1,34.8464298221957,2432
4,http://ccrtindia.gov.in/,294,0.258503401360544,198.979591836735,0,92,115,2740.42578125,98.2982300594827,79,19,0,67.0837009448933,2806
5,http://www.abhivyakti-hindi.org/,792,0.021464646464647,2.02020202020202,0,101,75,272.083984375,62.446969642588,20,12,0,30.5265385545594,3228
6,http://bharatdiscovery.org,1457,0.05353466026081,6.38297872340426,1,52,607,445.931640625,55.626825860536,26,15,0,25.0958884722381,2223
7,http://artlog.com/,0,0,0,0,0,0,0,0,0,1,-1,0,1
9,https://art21.org/,335,0.262686567164179,3.28358208955224,0,45,106,82.974609375,89.6629239931267,25,3,0,0,782
10,https://www.artrenewal.org,3667,0.031906190346332,5.75402236160349,3,59,688,1780.7236328125,91.2439586039954,331,8,1,35.4280917956029,2031
11,https://2017.stateofeuropeantech.com/,110,0.054545454545455,42.7272727272727,0,0,38,692.6279296875,45.3870350552907,33,6,0,60.8973015536812,1871
12,https://disruptionmag.com/,156,0.108974358974359,33.974358974359,0,5,28,2627.7197265625,98.6190275328575,22,14,0,34.6597129558933,1750
13,https://archive.india.gov.in/business/,154,0,12.987012987013,0,277,25,246.8115234375,77.951609393238,129,10,0,82.8454056818867,3019
14,http://www.eex.dcmsme.gov.in/,0,0,0,0,0,0,0,0,0,1,-1,0,1
15,http://hindi.webdunia.com/business,1337,0.319371727748691,8.1525804038893,0,12,561,167.15234375,66.4719216657708,142,15,0,52.6452896884707,2952
16,http://dirtexmah.gov.in/,248,0.229838709677419,21.7741935483871,0,16,86,44850.0888671875,99.414046241852,43,6,0,33.1839356360638,2241
17,https://worldbusiness.org/,831,0.193742478941035,12.2743682310469,1,27,88,465.228515625,80.6026104442961,53,9,0,37.6866453971509,1864
18,https://www.worldbusinessculture.com/,801,0.124843945068664,9.98751560549313,1,23,194,1443.943359375,81.8033028585187,47,14,0,36.5698813477911,2712
19,https://business.sprint.com/,943,0.101802757158006,6.04453870625663,1,48,296,1016.9814453125,82.7517863161604,55,7,0,50.070088639724,1755
20,http://minimums.com,143,0.482517482517483,39.1608391608392,1,6,40,4263.2705078125,98.5915531672817,52,21,0,46.5765124758046,3230
21,https://seeing-theory.brown.edu/,273,0.10989010989011,3.2967032967033,0,15,52,2845.0458984375,98.3689094976294,41,8,0,40.1621573526019,1615
23,http://cbse.gov.in/,17,0.529411764705882,11.7647058823529,0,0,2,2.255859375,0,0,1,0,8.40320069748762,174
24,http://edudel.gov.in,154,0.123376623376623,22.0779220779221,1,103,41,168.0908203125,89.1137254901961,32,6,0,57.2043379590068,1984
25,https://hindividya.com/,1150,0.134782608695652,8.78260869565217,0,34,101,472.0576171875,65.5505836938106,73,8,0,30.2559246990995,1651
26,https://www.amarujala.com/education,751,0.653794940079894,16.1118508655127,1,47,237,268.439453125,60.522333219345,98,11,0,16.6495350018229,1841
27,https://academicearth.org/,626,0.071884984025559,19.1693290734824,0,2,74,683.2373046875,95.2369449784531,44,6,0,70.4889437804024,1691
28,https://www.edmentuminternational.com/,212,0.188679245283019,9.90566037735849,0,81,58,1359.17578125,49.6825684223837,52,4,0,68.0150359342767,1617
29,https://www.funbrain.com/,227,0.088105726872247,46.6960352422908,1,0,57,2969.8408203125,98.5492501603851,60,12,0,56.148224304115,2552
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,373,0.150134048257373,24.3967828418231,0,15,49,1027.3076171875,81.5771087005912,38,4,0,11.8486212738966,1580
33,https://wbpds.gov.in/,484,0.266528925619835,27.8925619834711,2,16,94,4425.0908203125,89.8197710896206,45,19,0,83.4479920350398,2849
34,http://mdmodisha.nic.in/,560,0.033928571428572,29.8214285714286,1,186,76,1627.8037109375,96.2609584064994,54,22,0,103.193914369482,3317
35,https://khabarlahariya.org/,0,0,0,0,0,0,0,0,0,1,-1,0,1
36,https://www.swatirecipe.com/,425,0.487058823529412,3.05882352941176,0,32,53,851.0478515625,88.5694680156471,54,9,0,43.9543441143988,2042
38,https://www.consumersinternational.org/,318,0.091194968553459,14.4654088050314,0,9,75,1592.9482421875,95.3522574775668,21,14,0,90.8033698027971,2986
40,https://www.foodandwine.com,694,0.517291066282421,17.2910662824208,0,0,297,546.9599609375,47.1632085729538,39,10,0,34.6636499323283,2063
41,https://dataafrica.io/,45,0.377777777777778,35.5555555555556,0,0,23,10282.9814453125,99.5323166035963,15,12,0,40.9409179444357,3563
42,https://www.nasa.gov/,211,0.009478672985782,14.6919431279621,0,0,88,4031.5048828125,87.3347397366591,21,10,0,39.445689638671,2024
43,https://presidentofindia.gov.in/,584,0.717465753424658,9.58904109589041,0,5,64,2703.2919921875,90.0732288576103,48,22,0,55.9171356900982,3058
44,http://legislativebodiesinindia.gov.in/,22,1,4.54545454545455,0,0,0,1.34765625,0,1,3,0,9.84364899796879,598
45,https://rajyasabhahindi.nic.in,224,0.022321428571429,2.67857142857143,1,0,304,296.9716796875,70.5750429958665,25,10,1,76.4093151276734,2287
46,http://mls.org.in/,143,0.153846153846154,10.4895104895105,0,142,57,206.5712890625,94.7595837922933,21,18,0,58.582532917856,2337
47,https://www.usa.gov/,428,0.046728971962617,5.60747663551402,0,25,92,1468.5615234375,81.6197823257905,33,5,0,46.7019009950168,2077
48,https://www.gov.uk/,570,0.198245614035088,6.66666666666667,0,30,91,28.353515625,61.421092512227,11,5,0,68.627340165635,2651
49,http://english.gov.cn/,474,0.109704641350211,14.5569620253165,0,44,188,1416.6279296875,95.1534750145971,41,13,0,57.938260795848,2139
50,http://government.ru/en/,642,0.040498442367601,22.2741433021807,0,18,76,1239.1923828125,91.0189899703136,15,9,0,31.0190976776709,2074
51,https://www.spectrumnews.org/,581,0.76592082616179,33.7349397590361,0,43,246,1095.072265625,78.9280637515004,89,2,0,0,1
54,http://www.pci.nic.in/,1422,0.024613220815753,14.0646976090014,2,4,228,6814.9052734375,93.9073403412757,153,11,2,29.8763910887546,2706
55,https://khabarlahariya.org/,696,0.517241379310345,9.05172413793103,1,21,266,140.09765625,84.1154328732748,24,5,0,22.116058328925,1811
56,https://bharatswasthya.net/,0,0,0,0,0,0,0,0,0,1,-1,0,1
57,https://www.who.int/,215,0.088372093023256,14.8837209302326,1,31,560,4926.3447265625,98.2411607554013,93,20,0,72.1473986524173,2676
60,https://kidshealth.org/,106,0.09433962264151,5.66037735849057,0,10,62,885.873046875,94.6532706303589,35,17,0,64.5177645561674,1842
62,http://oscars.mpaa.org/,291,0.219931271477663,15.4639175257732,0,100,47,4809.7958984375,98.9146904987807,46,4,0,39.2690630852459,1242
63,http://www.allindiaradio.gov.in,11,0.181818181818182,18.1818181818182,0,1,0,0.48046875,0,0,1,-1,0,184
64,https://www.cfsindia.org/,356,0.5,16.2921348314607,0,7,51,2363.7626953125,86.5392298180577,57,17,0,98.9416769722967,2727
65,http://kavitakosh.org/,6720,0.013839285714286,0.342261904761905,1,12,2892,734.6884765625,79.0877830075194,36,16,8,66.1159471052154,2381
66,https://www.bhaskar.com/bollywood,2025,0.117037037037037,8.04938271604938,6,34,511,391.5283203125,60.6689530460809,206,15,1,38.6292370246539,2539
67,https://www.inoxmovies.com/,403,0.007444168734491,31.2655086848635,12,1,163,250.365234375,77.8128827416197,88,11,8,46.4627661922317,2239
68,https://www.cartoonbrew.com/,634,0.372239747634069,17.0347003154574,0,27,90,821.7021484375,65.6580578377344,68,7,0,33.6480210522102,2599
69,https://www.hollywoodawards.com/,0,0,0,0,0,0,0,0,0,1,-1,0,1
70,https://www.oscars.org/,0,0,0,0,0,0,0,0,0,1,-1,0,1
71,https://www.factcheck.org/,760,0.259210526315789,8.94736842105263,2,22,92,291.474609375,86.9454216504171,78,8,0,51.6290236263501,2658
72,https://www.pbs.org/newshour/,798,0.056390977443609,9.52380952380952,0,94,211,161.3212890625,72.8463070469088,103,11,0,33.6759668577964,2229
73,http://www.pib.nic.in/,440,0.097727272727273,20.2272727272727,0,3,92,1419.107421875,95.0421355853358,94,9,0,30.6332621626916,1981
74,http://www.newsonair.nic.in/,748,0.084224598930481,19.3850267379679,3,25,141,3336.3662109375,95.3761797005596,73,12,2,89.3324446380156,2899
75,https://aajtak.intoday.in/,2516,0.119634340222576,8.02861685214626,3,147,468,66.44140625,28.4173084837439,185,9,0,62.203471202961,2299
76,https://www.dprmp.org/,692,0,13.5838150289017,1,219,90,446.30078125,84.6408847032463,44,10,1,44.8420045560783,2262
81,https://solarsystem.nasa.gov/,428,0.168224299065421,38.5514018691589,0,21,206,8343.9189453125,58.5869340426511,79,7,1,28.8396051013902,1617
82,http://vis.sciencemag.org/space-graveyard/,408,0.029411764705882,9.80392156862745,0,39,28,2567.7158203125,57.3070590691736,82,18,0,27.0950249349163,1927
83,http://www.kscste.kerala.gov.in/,558,0.03405017921147,19.7132616487455,6,23,337,2663.783203125,74.2912563413906,71,15,0,28.2640260203868,2519
85,https://www.vigyanspace.in/,0,0,0,0,0,0,0,0,0,1,-1,0,1
86,https://techsandesh.com/,1420,1.37042253521127,13.3802816901408,0,18,210,966.1650390625,56.8048007131934,137,14,0,57.3447147809745,2821
87,http://www.cstep.in/,21,0.142857142857143,23.8095238095238,1,3,37,1762.9833984375,85.4370615328797,8,3,0,11.836549578825,403
88,https://www.thetech.org/,0,0,0,0,0,0,0,0,0,1,-1,0,1
89,https://www.scienceeurope.org/,391,0.038363171355499,8.18414322250639,0,13,89,356.7890625,61.9345179443386,31,12,0,73.2401410399686,2729
90,https://www.worldsciencefestival.com/,0,0,0,0,0,0,0,0,0,1,-1,0,1
91,https://www.theplayerstribune.com/global,0,0,0,0,0,0,0,0,0,1,-1,0,1
92,https://www.bleacherreport.com/,1619,0.565781346510192,10.9326744904262,0,59,155,347.56640625,59.284421816874,117,12,0,51.5499268214781,2769
93,http://www.sportsgoodsindia.org/,241,0,14.9377593360996,0,166,47,254.3896484375,94.7073840188871,58,8,0,46.0039458776355,2613
94,http://sportsauthorityofindia.nic.in/,200,0.035,32.5,1,2,86,5026.6533203125,59.8234839166917,86,8,1,36.3874990890486,2080
95,https://naidunia.jagran.com/sports,944,0.010593220338983,24.6822033898305,0,11,140,623.4736328125,91.3928860639343,74,11,1,52.1381580608178,2744
96,https://sportshindi.com/,0,0,0,0,0,0,0,0,0,1,-1,0,1
97,https://www.foxsportsasia.com/,0,0,0,0,0,0,0,0,0,1,-1,0,1
98,http://www.espn.in/,0,0,0,0,0,0,0,0,0,1,-1,0,1
99,https://www.skysports.com,0,0,0,0,0,0,0,0,0,1,-1,0,1
100,https://www.uefa.com,942,0.259023354564756,28.8747346072187,0,2,192,108.6455078125,81.4422981852175,85,9,0,24.6843430160391,2238
